3996.35878	0.10324
3994.43003	0.10292
3992.50129	0.10258
3990.57255	0.10221
3988.64380	0.10185
3986.71506	0.10154
3984.78631	0.10122
3982.85757	0.10079
3980.92882	0.10033
3979.00008	0.09998
3977.07133	0.09973
3975.14259	0.09953
3973.21384	0.09939
3971.28510	0.09934
3969.35636	0.09941
3967.42761	0.09953
3965.49887	0.09965
3963.57012	0.09977
3961.64138	0.10000
3959.71263	0.10032
3957.78389	0.10065
3955.85514	0.10100
3953.92640	0.10133
3951.99765	0.10162
3950.06891	0.10197
3948.14016	0.10252
3946.21142	0.10303
3944.28268	0.10342
3942.35393	0.10401
3940.42519	0.10468
3938.49644	0.10520
3936.56770	0.10557
3934.63895	0.10582
3932.71021	0.10613
3930.78146	0.10666
3928.85272	0.10707
3926.92397	0.10716
3924.99523	0.10727
3923.06649	0.10751
3921.13774	0.10756
3919.20900	0.10743
3917.28025	0.10751
3915.35151	0.10772
3913.42276	0.10772
3911.49402	0.10751
3909.56527	0.10717
3907.63653	0.10655
3905.70778	0.10573
3903.77904	0.10509
3901.85029	0.10486
3899.92155	0.10486
3897.99281	0.10492
3896.06406	0.10478
3894.13532	0.10436
3892.20657	0.10394
3890.27783	0.10374
3888.34908	0.10354
3886.42034	0.10326
3884.49159	0.10298
3882.56285	0.10258
3880.63410	0.10227
3878.70536	0.10227
3876.77662	0.10215
3874.84787	0.10175
3872.91913	0.10127
3870.99038	0.10095
3869.06164	0.10101
3867.13289	0.10110
3865.20415	0.10100
3863.27540	0.10112
3861.34666	0.10143
3859.41791	0.10143
3857.48917	0.10098
3855.56042	0.10011
3853.63168	0.09984
3851.70294	0.10131
3849.77419	0.10231
3847.84545	0.10256
3845.91670	0.10246
3843.98796	0.10217
3842.05921	0.10175
3840.13047	0.10147
3838.20172	0.10207
3836.27298	0.10308
3834.34423	0.10342
3832.41549	0.10345
3830.48675	0.10355
3828.55800	0.10355
3826.62926	0.10351
3824.70051	0.10330
3822.77177	0.10288
3820.84302	0.10320
3818.91428	0.10385
3816.98553	0.10410
3815.05679	0.10460
3813.12804	0.10494
3811.19930	0.10476
3809.27055	0.10437
3807.34181	0.10418
3805.41307	0.10417
3803.48432	0.10390
3801.55558	0.10381
3799.62683	0.10427
3797.69809	0.10460
3795.76934	0.10492
3793.84060	0.10529
3791.91185	0.10552
3789.98311	0.10567
3788.05436	0.10570
3786.12562	0.10574
3784.19687	0.10596
3782.26813	0.10625
3780.33939	0.10663
3778.41064	0.10711
3776.48190	0.10752
3774.55315	0.10776
3772.62441	0.10794
3770.69566	0.10822
3768.76692	0.10876
3766.83817	0.10944
3764.90943	0.11016
3762.98068	0.11078
3761.05194	0.11122
3759.12320	0.11199
3757.19445	0.11299
3755.26571	0.11348
3753.33696	0.11352
3751.40822	0.11405
3749.47947	0.11597
3747.55073	0.11715
3745.62198	0.11808
3743.69324	0.12019
3741.76449	0.12193
3739.83575	0.12259
3737.90700	0.12281
3735.97826	0.12355
3734.04952	0.12527
3732.12077	0.12695
3730.19203	0.12772
3728.26328	0.12804
3726.33454	0.12865
3724.40579	0.12983
3722.47705	0.13132
3720.54830	0.13280
3718.61956	0.13419
3716.69081	0.13522
3714.76207	0.13581
3712.83333	0.13655
3710.90458	0.13860
3708.97584	0.14139
3707.04709	0.14345
3705.11835	0.14522
3703.18960	0.14740
3701.26086	0.15069
3699.33211	0.15429
3697.40337	0.15773
3695.47462	0.16145
3693.54588	0.16514
3691.61713	0.16960
3689.68839	0.17728
3687.75965	0.18686
3685.83090	0.19449
3683.90216	0.20148
3681.97341	0.20948
3680.04467	0.21838
3678.11592	0.22797
3676.18718	0.24262
3674.25843	0.26185
3672.32969	0.27486
3670.40094	0.29028
3668.47220	0.31160
3666.54346	0.32770
3664.61471	0.34153
3662.68597	0.35685
3660.75722	0.37270
3658.82848	0.38784
3656.89973	0.40484
3654.97099	0.42253
3653.04224	0.43481
3651.11350	0.44630
3649.18475	0.46737
3647.25601	0.49098
3645.32726	0.50462
3643.39852	0.51510
3641.46978	0.52671
3639.54103	0.53918
3637.61229	0.55115
3635.68354	0.56246
3633.75480	0.57324
3631.82605	0.58240
3629.89731	0.59331
3627.96856	0.61019
3626.03982	0.62227
3624.11107	0.62947
3622.18233	0.63638
3620.25359	0.64577
3618.32484	0.65818
3616.39610	0.66839
3614.46735	0.67709
3612.53861	0.68689
3610.60986	0.69627
3608.68112	0.70611
3606.75237	0.71732
3604.82363	0.72633
3602.89488	0.73401
3600.96614	0.74324
3599.03739	0.75330
3597.10865	0.76287
3595.17991	0.77313
3593.25116	0.78406
3591.32242	0.79248
3589.39367	0.80034
3587.46493	0.81329
3585.53618	0.82750
3583.60744	0.83724
3581.67869	0.84585
3579.74995	0.85580
3577.82120	0.86640
3575.89246	0.87719
3573.96372	0.88793
3572.03497	0.89726
3570.10623	0.90518
3568.17748	0.91565
3566.24874	0.93238
3564.31999	0.94619
3562.39125	0.95537
3560.46250	0.96497
3558.53376	0.97543
3556.60501	0.98526
3554.67627	0.99475
3552.74752	1.00611
3550.81878	1.01758
3548.89004	1.02687
3546.96129	1.03691
3545.03255	1.04958
3543.10380	1.06130
3541.17506	1.07025
3539.24631	1.07855
3537.31757	1.08794
3535.38882	1.09840
3533.46008	1.10759
3531.53133	1.11539
3529.60259	1.12415
3527.67385	1.13397
3525.74510	1.14355
3523.81636	1.15289
3521.88761	1.16228
3519.95887	1.17041
3518.03012	1.17794
3516.10138	1.18577
3514.17263	1.19301
3512.24389	1.20006
3510.31514	1.20800
3508.38640	1.21636
